Comment,target
"Indeed, you have me convinced ! The Earth certainly is flat.....just as my head is, my fingers are, my bloody dick is, the wheels and tyres of my car and my bike are. Yep, I agree with you. How come you've not been nominated for the Nobel as yet ? Every single photograph beamed back to the Earth, by NASA crafts are fakes. So are the ones beamed back by satellites of other Countries, circumnavigating (should we say flatinavigating ?) the Earth. The telescopes...? They too show us a round moon, Saturn, Jupiter, Mars......bloody fake telescopes ! And they are fitted with 'round' lenses, which is exactly why they show us other planets as round ! The actual lenses should be square and flat. Now if such flat and square lenses are fitted to the telescopes, they would certainly show other planets as flat, wouldn't they ? You are doing a great job in proving your high level intelligence.",no
"More lies perpetrated by government. Don't believe this nonsense. Too many, gullible, people that are brainwashed into believing the earth is flat.",ok
"so if the earth is flat, what's on the other side of it ?",ok
How do you explain the southern cross which is only visible from the southern hemisphere and how would you explain the constellations which appear to be 'upside down' when viewed from the southern hemisphere as apposed to the northern hemisphere?,ok
Anyone (Christian or not) who thinks the Moon is a Planet is a BIG MORON.,no
WAKE UP MORONS....WAKE UP,no
"What if the Flat Earth Theory started off as a joke/sarcasm? and then some of them took it seriously and did their ""research""ÿ",ok
You are not smart,maybe
Thank you for educating humanity!,ok
"If it was flat, you would be able to draw a map, but you cant.",ok
"Stop with your visual interpretation. Do the math. Show the math. If you can't, then you can't prove it. Don't take any flights to Australia, or your plane may have to bang a u-turn. hahahahahaha",ok
You know nothing of perspective. All flat-earthers are morons. People are laughing at you.,no
I suppose everyone that believes in aliens or UFO's is a moron too and you laugh at them...?,ok
why can't anyone answer the question of why the stars are different in northern and southern hemisphere night sky,ok
"Not even going to watch this video because flat earth is retarded thought. But the picture that is on the headline of this vid is so phoney it is laughable. Just because NASA lies doesn't mean the earth is flat. But NASA is a group of lying cocksuckers. That picture of the eart from the ISS is something out of a Disney movie. No way the earth is that lit up from space, no way. If you have ever flown in a jet at night you will know that the earth isn't that lit up. And the cloud cover is completely opaque, you can see the Ishtar right through it. Again, if you have ever flown any where at night, a lot of the time you cannot see land at all, maybe some light but you won't see through the cloud cover. That picture is pure fantasy.",maybe
the sun always fades to the right fuck theses brainwashed globtards,no
the curving sun i love it,ok
what the fuck are you talking bout nigga,no
What about the Coriolis effect? What about the differences in seasons - summer and winter?,ok
total codswallop,no
lunatics,no
iss does not exist you dumb person,no
your mother used to let you ride in the wash machine during the high spin cycle didn't she,no
"how could so many people LIE, including einstein, newton Neil degrass tyson.",ok
You people are batshit crazy. I'm gonna quit wasting my time now. Have fun in your little fantasy,no
Well done . Thank you ! Hope the level of consciouness of people increase .,ok
very interesting. I don't know what to think.,ok
Anyone else come here after Gangnam Style to see how many views this video has?,ok
the girl in black and white is so beautiful and cute ... if anybody like her .....hit a like,ok
"one of the greatest song ever, please make a plan to do Concert in nepa",ok
Their choreographer clearly has Jamaican roots!!!,ok
Fuck you,no
Why are ya bitching first of all oneÊ__Êdidn't Trump say at a rally bet them up don't worry I'll bail you out if you getÊ_Êup two Alex need to chill and get off that coke,no
"YEAH AND OBAMA SAID THINGS THAT GOT POLICE KILLED. SO DON'T GP THERE FOOL. oH YES,IT'S BEAT NOT BET.",no
lol two more dum asses go hump on your sister or motherÊ,no
Butt hurt bitches,no
"Bullshit you fat fucking liar, it was fucking 4chan that did all the fucking legwork.",no
yo Alex huge fan but i just came across a video about the illuminati exposed and your name was brought up as being a key player of North America of the illuminati,ok
Alex now they are using bots to try to shut people down who are boycotting such companies as USAA and putting comments on their posts... Where doesÊPresident Donald J. TrumpÊstand on all of this? Bots are controlling the narrative for the left and the globalists!,ok
"4chan did this, great job in ruining your credibility even more.",ok
Wow you guys are starting to sound like cry baby snow flakes.,no
Eric Clanton comes from a wealthy family. I hope his victim sues the hell out of him,ok
What's the problem? It's not like trump supporters have to worry about getting brain damage,no
So is this false reporting?,ok
Did Unfowars really play a role in anything concerning the arrest?,ok
ÊI do NOT celebrate Memorial Day. I spend it in remembrance of the fallen. It's not a party and businesses trying make money piss me off,ok
"This entire election was a set up to divide us. Why they used Hillary and not Bernie. Still not sure if Trump in on it. If He's not, he needs to pull out his pen, and sign the order to reveal all Washington secrets to the public.",ok
"ÊGreg Haase , we don't stand a chance, because too many people refuse to see the truth",ok
"What a sad, sad, sad state of affairs we now face. I pray for humanity to fight the scourge of thie unprecedented level of evil poisoning our species.",ok
Look at dumb assMerkle meeting with dumb ass obummer yeah that's his ass name!!,no
"Desperation means they keep shooting blanks and can't finish the mutiny. I you believe they can't or won't, you aren't paying attention. The answer is we the people in the streets and cleaning out Congress from top to bottom. They must all b put out. If we are unwilling moving on, we get what we deserve when they succeed at putting Trump out. Think Pence is our friend, think again.",ok
"Theyre all related, every single president",ok
SO IF TRUMP KNOWS SO WHY HE ISN'T CHARGING THEM AND ARRESTING THEM,ok
Stand strong and let Trump know we are with him and our country,ok
What he says makes sense when you look at everything from the election until now.,ok
I think people should 2nd amendment Trump and his entire traitorous group of sycophants.,no
It's not the deep states. It's a bunch of idiots in all states. They are ruining our country.,no
Finally the truth is out. I have believed this for some time now,ok
They will NOT succeed! God will bring their plans and schemes into the light and they WILL fail,ok
Who are stupid enough to want this satanic witch to say anything? The Grand Delusion is strong amoungst th mentally enslaved morons isn't it?,no
Islam Has Devolved Into Devil Worshiping Cult,no
You moron. The empires of Mesoamerica collapsed because of disease and corruption brought on by the Spaniards. They weren't devil worshippers. This is idiocy,no
for sure his mother was a mafia whore,no
Give your head a wobble all lies you prick,no
Wahabism is not islam buddy,ok
you can't call someone a troll for putting across a valid fact based argument,ok
so many but hurt fake Muslims on here.,no
anal,no
analannie,no
analsex,no
angie,no
angry,no
anus,no
arab,no
arabs,no
areola,no
argie,no
aroused,no
arse,no
arsehole,no
ass,no
assassinate,no
assassination,no
assault,no
assbagger,no
assblaster,no
assclown,no
asscowboy,no
asses,no
assfuck,no
assfucker,no
asshat,no
asshole,no
assholes,no
asshore,no
assjockey,no
asskiss,no
asskisser,no
assklown,no
asslick,no
asslicker,no
asslover,no
assman,no
assmonkey,no
assmunch,no
assmuncher,no
asspacker,no
asspirate,no
asspuppies,no
assranger,no
asswhore,no
asswipe,no
badfuck,no
balllicker,no
balls,no
ballsack,no
banging,no
barf,no
barface,no
barfface,no
bast,no
bastard ,no
bazongas,no
bazooms,no
beaner,no
beastality,no
beastial,no
beastiality,no
beatoff,no
beat-off,no
beatyourmeat,no
beaver,no
bestial,no
bestiality,no
bi,no
biatch,no
bicurious,no
bigass,no
bigbastard,no
bigbutt,no
bitch,no
bitcher,no
bitches,no
bitchez,no
bitchin,no
bitching,no
bitchslap,no
bitchy,no
biteme,no
black,no
blackman,no
blacks,no
blowjob,no
boang,no
bogan,no
bohunk,no
bollick,no
bollock,no
bondage,no
boner,no
bong,no
boob,no
boobies,no
boobs,no
booby,no
boody,no
boom,no
boong,no
boonga,no
boonie,no
booty,no
bootycall,no
bountybar,no
breastjob,no
breastlover,no
breastman,no
brothel,no
bugger,no
buggered,no
buggery,no
bullcrap,no
bulldike,no
bulldyke,no
bullshit,no
bumblefuck,no
bumfuck,no
bunga,no
bunghole,no
buried,no
burn,no
butchbabes,no
butchdike,no
butchdyke,no
butt,no
buttbang,no
butt-bang,no
buttface,no
buttfuck,no
butt-fuck,no
buttfucker,no
butt-fucker,no
buttfuckers,no
butt-fuckers,no
butthead,no
buttman,no
buttmunch,no
buttmuncher,no
buttpirate,no
buttplug,no
buttstain,no
byatch,no
cacker,no
cameljockey,no
cameltoe,no
carpetmuncher,no
carruth,no
cherrypopper,no
chickslick,no
chink,no
chinky,no
choad,no
chode,no
clamdigger,no
clamdiver,no
clit,no
clitoris,no
clogwog,no
cocaine,no
cock,no
cockblock,no
cockblocker,no
cockcowboy,no
cockfight,no
cockhead,no
cockknob,no
cocklicker,no
cocklover,no
cocknob,no
cockqueen,no
cockrider,no
cocksman,no
cocksmith,no
cocksmoker,no
cocksucer,no
cocksuck ,no
cocksucked ,no
cocksucker,no
cocksucking,no
cocktail,no
cocktease,no
cohee,no
commie,no
coondog,no
cornhole,no
crackpipe,no
crackwhore,no
crack-whore,no
crap,no
crapola,no
crapper,no
crappy,no
crash,no
crotchjockey,no
crotchmonkey,no
crotchrot,no
cum,no
cumbubble,no
cumfest,no
cumjockey,no
cumm,no
cummer,no
cumming,no
cumquat,no
cumqueen,no
cumshot,no
cunilingus,no
cunillingus,no
cunn,no
cunnilingus,no
cunntt,no
cunt,no
cunteyed,no
cuntfuck,no
cuntfucker,no
cuntlick ,no
cuntlicker ,no
cuntlicking ,no
cuntsucker,no
cybersex,no
cyberslimer,no
dago,no
dahmer,no
darkie,no
darky,no
datnigga,no
deapthroat,no
death,no
deepthroat,no
devilworshipper,no
dick,no
dickbrain,no
dickforbrains,no
dickhead,no
dickless,no
dicklick,no
dicklicker,no
dickman,no
dickwad,no
dickweed,no
diddle,no
dike,no
dildo,no
dingleberry,no
dink,no
dipshit,no
dipstick,no
dix,no
dixiedike,no
dixiedyke,no
doggiestyle,no
doggystyle,no
dong,no
doodoo,no
doo-doo,no
doom,no
dripdick,no
dumb,no
dumbass,no
dumbbitch,no
dumbfuck,no
dyefly,no
dyke,no
easyslut,no
eatballs,no
eatme,no
eatpussy,no
ecstacy,no
ejaculate,no
ejaculated,no
ejaculating ,no
ejaculation,no
enema,no
facefucker,no
fag,no
fagging,no
faggot,no
fagot,no
fannyfucker,no
fastfuck,no
fatass,no
fatfuck,no
fatfucker,no
fatso,no
fckcum,no
felatio ,no
felch,no
felcher,no
felching,no
fellatio,no
feltch,no
feltcher,no
feltching,no
fetish,no
fingerfuck ,no
fingerfucked ,no
fingerfucker ,no
fingerfuckers,no
fingerfucking ,no
fister,no
fistfuck,no
fistfucked ,no
fistfucker ,no
fistfucking ,no
fisting,no
flydie,no
flydye,no
fok,no
footfuck,no
footfucker,no
footlicker,no
footstar,no
foreskin,no
forni,no
fornicate,no
foursome,no
fourtwenty,no
fraud,no
freakfuck,no
freakyfucker,no
freefuck,no
fu,no
fubar,no
fuc,no
fucck,no
fuck,no
fucka,no
fuckable,no
fuckbag,no
fuckbuddy,no
fucked,no
fuckedup,no
fucker,no
fuckers,no
fuckface,no
fuckfest,no
fuckfreak,no
fuckfriend,no
fuckhead,no
fuckher,no
fuckin,no
fuckina,no
fucking,no
fuckingbitch,no
fuckinnuts,no
fuckinright,no
fuckit,no
fuckknob,no
fuckme ,no
fuckmehard,no
fuckmonkey,no
fuckoff,no
fuckpig,no
fucks,no
fucktard,no
fuckwhore,no
fuckyou,no
fudgepacker,no
fugly,no
fuk,no
fuks,no
funfuck,no
fuuck,no
gangbang,no
gangbanged ,no
gangbanger,no
gatorbait,no
gaymuthafuckinwhore,no
geez,no
geezer,no
geni,no
getiton,no
gin,no
ginzo,no
gipp,no
goddamnmuthafucker,no
goldenshower,no
gonzagas,no
gook,no
gotohell,no
goy,no
goyim,no
greaseball,no
gringo,no
groe,no
grostulation,no
gubba,no
gummer,no
gyp,no
gypo,no
gypp,no
gyppie,no
gyppo,no
gyppy,no
hamas,no
handjob,no
hapa,no
hardon,no
harem,no
headfuck,no
hillbillies,no
hiscock,no
hitler,no
hitlerism,no
hitlerist,no
hiv,no
ho,no
hobo,no
hodgie,no
hoes,no
hole,no
holestuffer,no
homo,no
homobangers,no
honger,no
honk,no
honkers,no
honkey,no
honky,no
hook,no
hooker,no
hookers,no
hooters,no
hore,no
hork,no
horney,no
horniest,no
horny,no
horseshit,no
hosejob,no
hoser,no
hostage,no
hotdamn,no
hotpussy,no
hottotrot,no
hummer,no
husky,no
hussy,no
hustler,no
hymen,no
hymie,no
iblowu,no
idiot,no
ikey,no
illegal,no
incest,no
insest,no
intercourse,no
interracial,no
intheass,no
inthebuff,no
jackass,no
jackoff,no
jackshit,no
jacktheripper,no
japcrap,no
jebus,no
jeez,no
jerkoff,no
jiga,no
jigaboo,no
jigg,no
jigga,no
jiggabo,no
jigger ,no
jiggy,no
jihad,no
jijjiboo,no
jimfish,no
jism,no
jiz ,no
jizim,no
jizjuice,no
jizm ,no
jizz,no
jizzim,no
jizzum,no
joint,no
juggalo,no
jugs,no
junglebunny,no
kaffer,no
kaffir,no
kaffre,no
kafir,no
kanake,no
kid,no
kigger,no
kike,no
kink,no
kinky,no
kissass,no
kkk,no
knife,no
knockers,no
kock,no
kondum,no
koon,no
kotex,no
krap,no
krappy,no
kraut,no
kum,no
kumbubble,no
kumbullbe,no
kummer,no
kumming,no
kumquat,no
kums,no
kunilingus,no
kunnilingus,no
kunt,no
ky,no
kyke,no
lapdance,no
lesbain,no
lesbayn,no
lesbian,no
lesbin,no
lesbo,no
lez,no
lezbe,no
lezbefriends,no
lezbo,no
lezz,no
lezzo,no
liberal,no
libido,no
licker,no
lickme,no
limey,no
limpdick,no
limy,no
lingerie,no
livesex,no
loadedgun,no
lolita,no
looser,no
lovebone,no
lovegoo,no
lovegun,no
lovejuice,no
lovemuscle,no
lovepistol,no
loverocket,no
lowlife,no
lsd,no
lubejob,no
lucifer,no
luckycammeltoe,no
lugan,no
lynch,no
macaca,no
mad,no
mafia,no
magicwand,no
mams,no
manhater,no
manpaste,no
marijuana,no
mastabate,no
mastabater,no
masterbate,no
masterblaster,no
mastrabator,no
masturbate,no
masturbating,no
mattressprincess,no
meatbeatter,no
meatrack,no
meth,no
mexican,no
mgger,no
mggor,no
mickeyfinn,no
mideast,no
milf,no
minority,no
mockey,no
mockie,no
mocky,no
mofo,no
moky,no
moles,no
molest,no
molestation,no
molester,no
molestor,no
moneyshot,no
mooncricket,no
mormon,no
moron,no
moslem,no
mosshead,no
mothafuck,no
mothafucka,no
mothafuckaz,no
mothafucked ,no
mothafucker,no
mothafuckin,no
mothafucking ,no
mothafuckings,no
motherfuck,no
motherfucked,no
motherfucker,no
motherfuckin,no
motherfucking,no
motherfuckings,no
motherlovebone,no
muff,no
muffdive,no
muffdiver,no
muffindiver,no
mufflikcer,no
mulatto,no
muncher,no
munt,no
nastybitch,no
nastyho,no
nastyslut,no
nastywhore,no
nazi,no
necro,no
negro,no
negroes,no
negroid,no
negro's,no
nig,no
niger,no
nigerian,no
nigerians,no
nigg,no
nigga,no
niggah,no
niggaracci,no
niggard,no
niggarded,no
niggarding,no
niggardliness,no
niggardliness's,no
niggardly,no
niggards,no
niggard's,no
niggaz,no
nigger,no
niggerhead,no
niggerhole,no
niggers,no
nigger's,no
niggle,no
niggled,no
niggles,no
niggling,no
nigglings,no
niggor,no
niggur,no
niglet,no
nignog,no
nigr,no
nigra,no
nigre,no
nip,no
nipple,no
nipplering,no
nittit,no
nlgger,no
nlggor,no
nofuckingway,no
nook,no
nookey,no
nookie,no
noonan,no
nooner,no
nude,no
nudger,no
nuke,no
nutfucker,no
nymph,no
ontherag,no
oral,no
orga,no
orgasim ,no
orgasm,no
orgies,no
orgy,no
osama,no
paki,no
palesimian,no
palestinian,no
pansies,no
pansy,no
panti,no
panties,no
payo,no
pearlnecklace,no
peck,no
pecker,no
peckerwood,no
pee,no
peehole,no
pee-pee,no
peepshow,no
peepshpw,no
pendy,no
penetration,no
peni5,no
penile,no
penis,no
penises,no
penthouse,no
period,no
perv,no
phonesex,no
phuk,no
phuked,no
phuking,no
phukked,no
phukking,no
phungky,no
phuq,no
pi55,no
picaninny,no
piccaninny,no
pickaninny,no
piker,no
pikey,no
piky,no
pimp,no
pimped,no
pimper,no
pimpjuic,no
pimpjuice,no
pimpsimp,no
pindick,no
piss,no
pissed,no
pisser,no
pisses ,no
pisshead,no
pissin ,no
pissing,no
pissoff ,no
pistol,no
pixie,no
pixy,no
playboy,no
playgirl,no
pocha,no
pocho,no
pocketpool,no
pohm,no
polack,no
pom,no
pommie,no
pommy,no
poo,no
poon,no
poontang,no
poop,no
pooper,no
pooperscooper,no
pooping,no
poorwhitetrash,no
popimp,no
porchmonkey,no
porn,no
pornflick,no
pornking,no
porno,no
pornography,no
pornprincess,no
pot,no
poverty,no
premature,no
pric,no
prick,no
prickhead,no
primetime,no
propaganda,no
pros,no
prostitute,no
protestant,no
pu55i,no
pu55y,no
pube,no
pubic,no
pubiclice,no
pud,no
pudboy,no
pudd,no
puddboy,no
puke,no
puntang,no
purinapricness,no
puss,no
pussie,no
pussies,no
pussy,no
pussycat,no
pussyeater,no
pussyfucker,no
pussylicker,no
pussylips,no
pussylover,no
pussypounder,no
pusy,no
quashie,no
queef,no
queer,no
quickie,no
quim,no
ra8s,no
rabbi,no
racial,no
racist,no
radical,no
radicals,no
raghead,no
randy,no
rape,no
raped,no
raper,no
rapist,no
rearend,no
rearentry,no
rectum,no
redlight,no
redneck,no
reefer,no
reestie,no
refugee,no
reject,no
remains,no
rentafuck,no
republican,no
rere,no
retard,no
retarded,no
ribbed,no
rigger,no
rimjob,no
rimming,no
roach,no
robber,no
roundeye,no
rump,no
russki,no
russkie,no
sadis,no
sadom,no
samckdaddy,no
sandm,no
sandnigger,no
satan,no
scag,no
scallywag,no
scat,no
schlong,no
screw,no
screwyou,no
scrotum,no
scum,no
semen,no
seppo,no
servant,no
sex,no
sexed,no
sexfarm,no
sexhound,no
sexhouse,no
sexing,no
sexkitten,no
sexpot,no
sexslave,no
sextogo,no
sextoy,no
sextoys,no
sexual,no
sexually,no
sexwhore,no
sexy,no
sexymoma,no
sexy-slim,no
shag,no
shaggin,no
shagging,no
shat,no
shav,no
shawtypimp,no
sheeney,no
shhit,no
shinola,no
shit,no
shitcan,no
shitdick,no
shite,no
shiteater,no
shited,no
shitface,no
shitfaced,no
shitfit,no
shitforbrains,no
shitfuck,no
shitfucker,no
shitfull,no
shithapens,no
shithappens,no
shithead,no
shithouse,no
shiting,no
shitlist,no
shitola,no
shitoutofluck,no
shits,no
shitstain,no
shitted,no
shitter,no
shitting,no
shitty ,no
shoot,no
shooting,no
shortfuck,no
showtime,no
sick,no
sissy,no
sixsixsix,no
sixtynine,no
sixtyniner,no
skank,no
skankbitch,no
skankfuck,no
skankwhore,no
skanky,no
skankybitch,no
skankywhore,no
skinflute,no
skum,no
skumbag,no
slant,no
slanteye,no
slapper,no
slaughter,no
slav,no
slave,no
slavedriver,no
sleezebag,no
sleezeball,no
slideitin,no
slime,no
slimeball,no
slimebucket,no
slopehead,no
slopey,no
slopy,no
slut,no
sluts,no
slutt,no
slutting,no
slutty,no
slutwear,no
slutwhore,no
smack,no
smackthemonkey,no
smut,no
snatch,no
snatchpatch,no
snigger,no
sniggered,no
sniggering,no
sniggers,no
snigger's,no
sniper,no
snot,no
snowback,no
snownigger,no
sob,no
sodom,no
sodomise,no
sodomite,no
sodomize,no
sodomy,no
sonofabitch,no
sonofbitch,no
sooty,no
sos,no
soviet,no
spaghettibender,no
spaghettinigger,no
spank,no
spankthemonkey,no
sperm,no
spermacide,no
spermbag,no
spermhearder,no
spermherder,no
spic,no
spick,no
spig,no
spigotty,no
spik,no
spit,no
spitter,no
splittail,no
spooge,no
spreadeagle,no
spunk,no
spunky,no
squaw,no
stagg,no
stiffy,no
strapon,no
stringer,no
stripclub,no
stroke,no
stroking,no
stupid,no
stupidfuck,no
stupidfucker,no
suck,no
suckdick,no
sucker,no
suckme,no
suckmyass,no
suckmydick,no
suckmytit,no
suckoff,no
suicide,no
swallow,no
swallower,no
swalow,no
swastika,no
sweetness,no
syphilis,no
taboo,no
taff,no
tampon,no
tang,no
tantra,no
tarbaby,no
tard,no
teat,no
terror,no
terrorist,no
teste,no
testicle,no
testicles,no
thicklips,no
thirdeye,no
thirdleg,no
threesome,no
threeway,no
timbernigger,no
tinkle,no
tit,no
titbitnipply,no
titfuck,no
titfucker,no
titfuckin,no
titjob,no
titlicker,no
titlover,no
tits,no
tittie,no
titties,no
titty,no
tnt,no
toilet,no
tongethruster,no
tongue,no
tonguethrust,no
tonguetramp,no
tortur,no
torture,no
tosser,no
towelhead,no
trailertrash,no
tramp,no
trannie,no
tranny,no
transexual,no
transsexual,no
transvestite,no
triplex,no
trisexual,no
trojan,no
trots,no
tuckahoe,no
tunneloflove,no
turd,no
turnon,no
twat,no
twink,no
twinkie,no
twobitwhore,no
uck,no
uk,no
unfuckable,no
upskirt,no
uptheass,no
upthebutt,no
urinary,no
urinate,no
urine,no
usama,no
uterus,no
vagina,no
vaginal,no
vatican,no
vibr,no
vibrater,no
vibrator,no
vietcong,no
violence,no
virgin,no
virginbreaker,no
vomit,no
vulva,no
wab,no
wank,no
wanker,no
wanking,no
waysted,no
weapon,no
weenie,no
weewee,no
welcher,no
welfare,no
wetb,no
wetback,no
wetspot,no
whacker,no
whash,no
whigger,no
whiskey,no
whiskeydick,no
whiskydick,no
whit,no
whitenigger,no
whites,no
whitetrash,no
whitey,no
whiz,no
whop,no
whore,no
whorefucker,no
whorehouse,no
wigger,no
willie,no
williewanker,no
willy,no
wn,no
wog,no
women's,no
wop,no
wtf,no
wuss,no
wuzzie,no
xtc,no
xxx,no
yankee,no
yellowman,no
zigabo,no
zipperhead,no
"Mirrors can’t talk, lucky for you they can’t laugh either.",maybe
"What’s the point of putting on makeup, a monkey is gonna stay a monkey.",maybe
Zombies eat brains. You’re safe.,maybe
Wow! You have a huge pimple in between your shoulders! Oh wait that’s your face.,maybe
Your intelligence is my common sense.,maybe
Your age doesn’t lie. Neither does that face.,maybe
You’re so much smarter when you don’t speak!,maybe
Why does Trump seem like a giant magnet for awkward situations involving hands,maybe
That Las Vegas team cannot stay behind the ball but both teams suck either way,maybe
the moment when you realise your sister is a cheating hoe.,maybe
"How the FUCK do people defend this? Unlike the majority of the Clinton scandals, this shit is REAL",maybe
"i was hoping he'd say ""please jump in front of it""",maybe
Donald Trump is an idiot,maybe
Colbert is a one trick pony. He can't do anything without mentioning Trump.,maybe
"this administration is insane. It's like the ""Stupid"" Mafia has taken over the usa",maybe
holster you are idiot journalist ever seen in the planet shame on you,maybe
Poor Hillary can't cheat enough to win.,maybe
Hillary please go enjoy your money......We don't need you......,maybe
Hey Obama! You can't speak to the president of the United States like that!,maybe
What have my life become watching people sucking noodles at 8 am.,maybe
"Salma Hayek should be the most beautiful woman of the year, not Julia Roberts",maybe
Why is she acting stupid? Is it supposed to be funny because it's not.,maybe
Going on Jimmy Fallon seems it's like going to that one friends house who only has board games,maybe
When you thought this was really Justin and Selena togeth,maybe
Coffee Cream That's not why I'm saying that I'm just saying that she's not as good an actor as selena,maybe
I love how the video has a lot to do with the thumbnail.,maybe
I really wanna question boys.. are there still these kind of boys on planet earth ? or vanished ?,maybe
"That wasn't a real Panda, You can clearly see the zipper...",maybe
I did grief work this morning about the death of a child. And all you have to say is hatred . Jimmy Fallon you don't deserve my friendship any longer.,maybe
She looks innocent but sounds sexy,maybe
She's so fucking hot,maybe
Melania should divorce D Trump...if she wants to be happy... and free..,maybe
"She's a classy woman, this fat pig doesn't deserve her.",maybe
have you ever wonder if that woman was blind when she married trump and it looks like he is sexual assaulting his daughter,maybe
how can you go from such class to so much falsity..?,maybe
he didn't even let the ladies go first as any truly gentleman would.,maybe
"when i see this i'm asking me WHY i am learning for good grades at the university every fukcin day,",maybe
People like you are the reason we have middle fingers.,no
"When your mom dropped you off at the school, she got a ticket for littering.",no
Act your age not your shoe size.,no
"He's a moron with dementia, Arthur, we should count ourselves lucky he's not visibly shitting his pants",no
All I wanted to do was grab her by the pussy. Is that too much to ask.,no
you guys are fucking retarded look how easy it is to distract you,no
"Women are only good for two things. Their vaginas, and their sisters vaginas, fucking bitch should get slapped, and go back to the kitchen",no
"Really, who wants to shake Golden Russian Puppet Pussy Grabber Sexual Predator Trump’s hand?",no
Dont fucking touch what you cant afford you orange cuntface,no
Colbert can't keep Trump's name out of his mouth. The dick is too far in.,no
"Trump came, he saw, and he kicked Killery Cinton's ass!",no
if salma hayek says suck yourself you better suck yourself,no
"""You start sucking yourself"" Salma Hayek",no
Give her towel first so that she can clean herself you moron :D He used towel for himself only - Jimmy that was not good at all - a bad manners dude!,no
"why is she dumb? english is not her first language, i wanna see you trying speak perfect spanish asshole",no
She's really annoying. Sometimes I just want to slap her in the face.,no
She's been in the country too damn long to not know the difference between sucking and slurping she knew EXACTLY what she meant by that!,no
"Man so many people are triggered when others say ""Miley is changing for the better"". Society is fucking hilarious. Get over yourselves. She did change whether you believe it in your narrow minded safe zone heads or not",no
hey look she's wearing clothes,no
how did she have sex with this fucker?,no
She looks better with her top off as we saw in GQ.,no
Fuck Donald trump,no
this dirty ass pumpkin touched Michelle,no
He is just an uneducated moron self-centered selfish piece of crap,no
he is self-absorbed idiot. One would expect him to do just what he did.,no
he is a pig,no
She should divorce him. No amount of money is worth being treated like shit by this asshole.,no
Bitch always looks like she's in mourning,no
this shit really changed my fucking life,no
